Date,Dislikes,Image,Likes,Name,Rating,RelativeDate,Review,ReviewId,Title,URCount,Verified
2017-03-30 12:23:31,0,https://graph.facebook.com/10204302839170159/picture?type=square,0,Sandeep,80,20 minutes ago,Nice one ... Parvathi is the star of this movie .. Kunchakko and Fahad did their part very well too ... Hats off to the director ..  realistic and one of it's kind ...,17704866,Take Off,4,N
2017-03-30 12:21:02,0,https://www.gravatar.com/avatar/360ab7b1956bf9ea15d0a2c53b59e838?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Neeraja,100,22 minutes ago,"The movie was so good... Will hold you to the seat till the end... Great performance by Parvathy, Kunchacko boban... Loved the movie so much...",17704674,One among the best movies,1,N
2017-03-30 12:03:15,0,https://www.gravatar.com/avatar/38a73e10ff05040cc0066af5062c9138?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Krishna,100,40 minutes ago,"Awesome movie. Must watch. Fahad Fazil, Parvathi, Kunchacko Boban superb performance. Direction, Camera, Editing everything is perfect. Hats off to the entire team behind this movie.",17703383,Must watch movie,1,N
2017-03-30 10:47:05,0,https://www.gravatar.com/avatar/02df74d309516b1033a6fa2e86db74ca?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Hilal,100,2 hours ago,"Must Watch Movie... Hats off to the director mahesh narayan and entire crew behind this... Superb performance from actors especially parvathy, fahad and chackochan",17698838,Best Movie 2017,1,N
2017-03-30 10:16:50,0,https://www.gravatar.com/avatar/895181e9878abe3895355e11683b3fd1?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Afsal,100,2 hours ago,nice movie don't miss. each. and every body pls watch good filmasif Ali. fahad fasil. parvathy kunjako boban do there jobs as well as 100 percentage,17697439,good,2,N
2017-03-30 09:57:30,0,https://www.gravatar.com/avatar/35c7712dc40300b0e51f20a25dfb4dae?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Varghese,100,3 hours ago,One of the best movie in malayalam film industry..hats of to the director for his brilliant direction..Perfect story..and such an amazing bgm ever by gopi sunder...Must watch movie..pls dont miss it,17696575,Take Off,1,N
2017-03-30 09:49:24,0,https://www.gravatar.com/avatar/873bf6889f445924c515123671f626be?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,MaNu,80,3 hours ago,"one of the best movies of recent past , let you know the struggle of the people who shed all their pain and hardwork and shows the true face of the profession Nurse , dont miss this ??good job Paravathy you are an amazing verstaile actress , kunjaoboban you did well too , Fahad fazil amazing acting as well but paravathy owned the court ??",17696238,amazing,9,Y
2017-03-30 09:33:48,0,https://www.gravatar.com/avatar/f00787a45f44203d71fddce1b831fe3d?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Royson,100,3 hours ago,mindblowing and thrilling...fast paced...not even a scene in the movie where it goes slow...parvati and fahadh was excellent...so was kunchakko ...brilliant movie...words not enough to express ...,17695494,superb,1,Y
2017-03-30 09:09:53,0,https://www.gravatar.com/avatar/236bb18b79c2fb87fa264879ead68503?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Vidyul,100,4 hours ago,parvathy acted well absolutely good movie super editing. It keep the suspense every bit and I like the immediate transfers from present to past,17694355,excellent editing,1,Y
2017-03-30 01:30:07,0,https://www.gravatar.com/avatar/e9803daf3b45f0e9f1d407dfd3bcd53a?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,shihab,100,11 hours ago,"Brilliant film,hats of Mr.Mahesh,Parvathy,Chackochan and Fahad.This film will make history in Indian cinema.Thank you so much for wonderful moments",17685204,Excellent movie,1,Y
2017-03-30 00:34:52,0,https://www.gravatar.com/avatar/5b31e2d7a2838dbfd53531e53a53a2ed?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Tony,100,12 hours ago,"it's so great to see such movies.it gives u those positive vibes. so realistic and so well captured. hats off to the team. The music,the editing everything is spot on. Fahadh, Kunjako and Parvathy no words to describe ur performance. Wish to see more movies like this.",17683725,Realistic and Wonderful.,3,N
2017-03-30 00:08:10,0,https://www.gravatar.com/avatar/4150f417b7f9964ccbf3024d4cfa823b?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Jackson,90,13 hours ago,amazing movie ..guess parvathy may get this year sate award .I can say my eyes literally wore tears in many scenes ..amazing movie ..everyone should watch it ..it's a real story,17682943,award filim,1,N
2017-03-29 23:43:55,0,https://www.gravatar.com/avatar/2fbef89f8474dbee3a2d7ea6e7f5460f?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Joshner,100,13 hours ago,if this movie can be produced with not a record breaking budget. then I don't know what people have done so far in making record budget movies. Everyone did the best. Nothing to be said in a bad note. it's an absolute stunner. !! well done guys. Wishing more movies like this !!,17682200,Taking Malayalam Film Industry to another level,2,N
